stock_id,stock_name,stock_code
24055,網龍,00777
46581,置富產業信託,00778
205645,同程旅行,00780
170603,凌銳控股,00784
193453,中國鐵塔,00788
23541,雅天妮集團,00789
30679,錦勝集團（控股）,00794
191127,第七大道,00797
103735,中電光谷,00798
126710,IGG,00799
23667,Ａ８新媒體,00800
31013,中國錢包,00802
156578,鼎石資本,00804
19713,惠理集團,00806
181183,上海實業環境,00807
10253,泓富產業信託,00808
1956,大成生化科技,00809
1959,中國鑄晨８１,00810
15584,新華文軒,00811
1962,西證國際證券,00812
11749,世茂集團,00813
16414,北京京客隆,00814
81865,中國白銀集團,00815
1000140857,金茂服務,00816
17178,中國金茂,00817
1970,高陽科技,00818
15699,天能動力,00819
15784,匯豐中國翔龍基金,00820
25900,匯盈控股,00821
15960,嘉瑞國際,00822
10148,領展房產基金,00823
16089,新世界百貨中國,00825
16633,天工國際,00826
26057,玖源集團,00827
8559,王朝酒業,00828
39088,神冠控股,00829
46159,中國建築興業,00830
63443,利亞零售,00831
23875,建業地產,00832
9314,華訊,00833
29466,康大食品,00834
6732,華潤電力,00836
38490,譚木匠,00837
8991,億和控股,00838
169819,中教控股,00839
17569,天業節水,00840
30902,木薯資源,00841
55030,理士國際,00842
68895,廣泰國際控股,00844
38700,恒盛地產,00845
39542,明發集團,00846
21321,茂業國際,00848
2024,盛源控股,00851
28197,海峽石油化工,00852
52492,微創醫療,00853
97360,威雅利,00854
2033,中國水務,00855
2035,偉仕佳杰,00856
2038,中國石油股份,00857
2040,精優藥業,00858
2042,中昌國際控股,00859
2044,ＡＰＯＬＬＯ出行,00860
2047,神州控股,00861
2049,遠見控股,00862
130186,ＯＳＬ集團,00863
84799,永利地產發展,00864
28760,建德國際控股,00865
34498,中國秦發,00866
52602,康哲藥業,00867
8582,信義玻璃,00868
20947,彩星玩具,00869
63322,中國疏浚環保,00871
28761,泰坦智華科技,00872
1000061088,世茂服務,00873
2069,白雲山,00874
2072,中國金控,00875
2074,佳兆業健康,00876
2079,金朝陽集團,00878
21374,澳博控股,00880
45635,中升控股,00881
2086,天津發展,00882
2088,中國海洋石油,00883
79741,旭輝控股集團,00884
24822,英皇鐘錶珠寶,00887
2098,貝森金融,00888
2100,連達科技控股,00889
38580,中國鐵鈦,00893
2107,萬裕科技,00894
52672,東江環保,00895
2111,興勝創建,00896
2115,位元堂,00897
2118,萬事昌國際,00898
2122,中加國信,00899
2125,AEON CREDIT,00900
2127,金石投資集團,00901
2131,華能國際電力股份,00902
2140,胡桃資本,00905
40412,中糧包裝,00906
2147,高雅光學,00907
1000057174,明源雲,00909
2156,中國三迪,00910
107908,前海健康,00911
2162,信佳國際,00912
2166,港灣數字,00913
2170,海螺水泥,00914
2173,道和環球,00915
41318,龍源電力,00916
2186,國能國際資產,00918
10609,現代健康科技,00919
2192,海信家電,00921
2194,安賢園中國,00922
46224,綜合環保集團,00923
1000001199,坤集團,00924
2204,北京建設,00925
52670,碧生源,00926
2209,富士高實業,00927
2213,帝王國際投資,00928
8106,國際精密,00929
2224,中國港能,00931
133776,順騰國際控股,00932
1000196261,非凡領越,00933
2234,中石化冠德,00934
49725,佳兆業資本,00936
2240,民生國際,00938
9970,建設銀行,00939
2247,中國移動,00941
2250,中證國際,00943
2255,宏利金融－Ｓ,00945
41573,摩比發展,00947
42433,阿爾法企業,00948
47399,李氏大藥廠,00950
49562,超威動力,00951
2265,華富建業金融,00952
43092,邵氏兄弟控股,00953
90337,常茂生物,00954
53278,新天綠色能源,00956
2273,世紀娛樂國際,00959
40632,龍湖集團,00960
2282,中國太平,00966
97365,信義光能,00968
2287,華聯國際,00969
2290,新耀萊,00970
47237,L'OCCITANE,00973
129700,中國順客隆,00974
53070,MONGOL MINING,00975
49675,齊合環保,00976
2299,招商局置地,00978
2301,綠色能源科技集團,00979
6279,聯華超市,00980
7249,中芯國際,00981
24849,華發物業服務,00982
2312,瑞安建業,00983
2314,永旺,00984
2316,中國環保能源,00986
2317,中國再生能源投資,00987
2318,絲路物流控股,00988
2319,華音國際控股,00989
2321,榮暉國際,00990
2322,大唐發電,00991
2325,聯想集團,00992
2326,華融金控,00993
158001,中天順聯,00994
2328,安徽皖通高速公路,00995
2331,普匯中金國際,00997
15124,中信銀行,00998
8414,北青傳媒,01000
2337,滬港聯合,01001
2338,威鋮國際,01002
2342,歡喜傳媒,01003
2343,中國智慧能源,01004
2345,MATRIX HOLDINGS,01005
54112,龍輝國際控股,01007
31861,力圖控股,01008
52722,國際娛樂,01009
2350,巴克１７９８集團,01010
61660,泰凌醫藥,01011
2355,偉俊集團控股,01013
49632,賽伯樂國際控股,01020
115398,飛魚科技,01022
69350,時代集團控股,01023
1000077859,快手－Ｗ,01024
215485,嘉藝控股,01025
49128,環球實業科技,01026
119410,中國集成控股,01027
66793,千百度,01028
53238,鐵貨,01029
80511,新城發展,01030
2363,中石化油服,01033
202555,富匯國際集團控股,01034
2370,萬科海外,01036
2372,雲智匯科技,01037
2373,長江基建集團,01038
52490,暢由聯盟,01039
2382,恒安國際,01044
2384,亞太衛星,01045
2386,寰宇娛樂文化,01046
2389,毅興行,01047
2394,時富投資,01049
2395,嘉利國際,01050
2397,國際資源,01051
2398,越秀交通基建,01052
2400,重慶鋼鐵股份,01053
2406,中國南方航空股份,01055
59936,浙江世寶,01057
2410,南粵控股,01058
2412,看通集團,01059
2414,阿里影業,01060
63524,億勝生物科技,01061
2418,國開國際投資,01062
2419,新確科技,01063
2420,中華國際,01064
2422,天津創業環保股份,01065
50340,威高股份,01066
9848,雨潤食品,01068
62156,中國健康科技集團,01069
2427,ＴＣＬ電子,01070
2430,華電國際電力股份,01071
2433,東方電氣,01072
2434,大禹金融,01073
57192,首都信息,01075
2442,博華太平洋,01076
55652,松景科技,01079
41571,勝利管道,01080
63589,源宇宙教育,01082
10227,港華智慧能源,01083
1000011568,綠新親水膠體,01084
57020,亨鑫科技,01085
55726,好孩子國際,01086
55027,威訊控股,01087
9124,中國神華,01088
55987,大明國際,01090
55320,南方錳業,01091
2467,石藥集團,01093
2468,承輝國際,01094
2475,有線寬頻,01097
2478,路勁,01098
38248,國藥控股,01099
2483,飛達控股,01100
55321,華榮能源,01101
56834,環能國際,01102
2489,亞太資源,01104
2492,星島,01105
80430,當代置業,01107
2498,凱盛新能,01108
2499,華潤置地,01109
55810,金活醫藥集團,01110
1000206363,華視集團控股,01111
56658,Ｈ＆Ｈ國際控股,01112
124341,長實集團,01113
2506,BRILLIANCE CHI,01114
63667,西藏水資源,01115
7635,MAYER HOLDINGS,01116
55873,現代牧業,01117
2518,高力集團,01118
207596,創夢天地,01119
2522,雅視光學,01120
58570,金陽新能源,01121
2526,慶鈴汽車股份,01122
2527,中港照相,01123
2528,沿海家園,01124
2530,麗豐控股,01125
2532,德林國際,01126
63995,獅子山集團,01127
38864,永利澳門,01128
2538,中國水業集團,01129
2541,中國環境資源,01130
2545,橙天嘉禾,01132
2546,哈爾濱電氣,01133
1000002233,恒發光學,01134
2556,香港科技探索,01137
2559,中遠海能,01138
2562,華科智能投資,01140
2565,民銀資本,01141
2567,能源及能量環球,01142
58395,中國儲能科技發展,01143
63826,勇利投資,01145
63670,中國服飾控股,01146
1000035778,伊登軟件,01147
84880,新晨動力,01148
62470,米蘭站,01150
68139,正乾金融控股,01152
1000062563,佳源服務,01153
1000045901,CHINANEWENERGY,01156
56944,中聯重科,01157
2590,星光文化,01159
7312,金石資本集團,01160
2595,奧思集團,01161
1000034795,瑩嵐集團,01162
1000045670,虎視傳媒,01163
6369,中廣核礦業,01164
64026,順風清潔能源,01165
2608,星凱控股,01166
1000068770,加科思－Ｂ,01167
2611,百仕達控股,01168
2615,信星集團,01170
2616,兗礦能源,01171
2618,融太集團,01172
2620,威高國際,01173
2626,珠光控股,01176
6833,中國生物製藥,01177
1000057656,華住集團－Ｓ,01179
2639,匯彩控股,01180
61591,唐宮中國,01181
2644,勝龍國際,01182
176391,澳能建設,01183
2647,S.A.S. DRAGON,01184
2648,中國航天萬源,01185
22226,中國鐵建,01186
2654,正道集團,01188
2655,大灣區聚變力量,01189
2663,華潤燃氣,01193
2667,京維集團,01195
2670,偉祿集團,01196
2674,皇朝家居,01198
2678,中遠海運港口,01199
2679,美聯集團,01200
2680,天臣控股,01201
2682,四威科技,01202
2683,廣南（集團）,01203
1000158208,博維智慧,01204
2687,中信資源,01205
68127,同方泰德,01206
2690,上置集團,01207
2693,五礦資源,01208
1000066369,華潤萬象生活,01209
71862,克莉絲汀,01210
2696,比亞迪股份,01211
2700,萬保剛集團,01213
2705,開源控股,01215
157951,中原銀行,01216
2711,中國創新投資,01217
2714,永義國際,01218
2717,志道國際,01220
2719,SINO HOTELS,01221
2720,WANG ON GROUP,01222
2721,新灃集團,01223
2722,中渝置地,01224
2724,隆成金融,01225
2727,中國投融資,01226
1000125089,北海康成－Ｂ,01228
2737,南南資源,01229
63751,新礦資源,01231
82229,金輪天地控股,01232
97206,時代中國控股,01233
38090,中國利郎,01234
66809,專業旅運,01235
76357,中科生物,01237
38982,寶龍地產,01238
68730,TEAMWAY INTL GP,01239
78845,青建國際,01240
63557,雙樺控股,01241
139084,宏安地產,01243
1000177182,3D MEDICINES,01244
120731,NIRAKU,01245
94968,保集健康,01246
99373,米格國際控股,01247
89020,山高新能源,01250
69788,華油能源,01251
69943,中國天瑞水泥,01252
108415,中國綠地博大綠澤,01253
91043,ＴＡＴＡ健康,01255
154441,中國光大綠色環保,01257
75058,中國有色礦業,01258
64024,未來發展控股,01259
73097,皓天財經集團,01260
69485,蠟筆小新食品,01262
70371,栢能集團,01263
67794,天津津燃公用,01265
71910,西王特鋼,01266
96654,美東汽車,01268
68894,首控集團,01269
88318,朗廷－ＳＳ,01270
92151,佳明集團控股,01271
147482,大唐環境,01272
94153,香港信貸,01273
1000203267,知行汽車科技,01274
72926,力量發展,01277
54300,中國新城鎮,01278
46008,奇點國峰,01280
70419,鑫達投資控股,01281
49065,中澤豐,01282
1000011147,高陞集團控股,01283
1000197045,新傳企劃,01284
111121,嘉士利集團,01285
1000001200,鷹普精密,01286
49784,農業銀行,01288
108299,盛力達科技,01289
95415,中國匯融,01290
91303,長安民生物流,01292
69599,廣匯寶信,01293
69789,雲能國際,01298
